id,name,state,lat,lon,drainage_area_km2,normal_flow_cms,flood_stage_cms,river_km
0,Fort Benton,MT,47.82,-110.67,57000,200.0,500.0,0
1,Bismarck,ND,46.81,-100.78,485000,500.0,1200.0,800
2,Sioux City,IA,42.50,-96.40,724000,700.0,1800.0,1600
3,Platte at Plattsmouth,NE,41.01,-95.88,220000,100.0,500.0,1790
4,Omaha,NE,41.26,-96.02,835000,900.0,2200.0,1800
5,Kansas River at Lecompton,KS,39.05,-95.44,156000,200.0,1500.0,2195
6,Kansas City,MO,39.10,-94.58,1080000,1400.0,3500.0,2200
7,Osage at St Thomas,MO,38.37,-91.96,36000,200.0,800.0,2795
8,Hermann,MO,38.71,-91.44,1350000,2000.0,5000.0,2800
9,Minnesota at Mankato,MN,44.17,-94.00,39000,50.0,200.0,2850
10,Minneapolis,MN,44.98,-93.26,95000,180.0,500.0,2900
11,Dubuque,IA,42.50,-90.67,175000,600.0,1500.0,3100
12,Illinois at Havana,IL,40.30,-90.07,69000,300.0,700.0,3175
13,Quincy,IL,39.93,-91.41,377000,1200.0,3000.0,3200
14,St. Louis,MO,38.63,-90.19,1805000,4000.0,10000.0,3350
15,Pittsburgh,PA,40.44,-80.00,72000,600.0,2000.0,1000
16,Cumberland at Nashville,TN,36.17,-86.78,48000,400.0,2000.0,3750
17,Tennessee at Paducah,KY,37.08,-88.60,104000,1500.0,4000.0,3820
18,Cincinnati,OH,39.10,-84.52,247000,1200.0,3500.0,3400
19,Louisville,KY,38.25,-85.76,298000,1500.0,4000.0,3550
20,Wabash at Mt Carmel,IL,38.41,-87.77,83000,350.0,1500.0,3820
21,Cairo,IL,37.00,-89.18,526000,3500.0,9000.0,3850
22,Memphis,TN,35.15,-90.05,2097000,10000.0,25000.0,4200
23,Arkansas at Little Rock,AR,34.75,-92.28,417000,400.0,2000.0,4450
24,Yazoo at Vicksburg,MS,32.35,-90.93,34000,150.0,1000.0,4600
25,Vicksburg,MS,32.35,-90.88,2963000,12000.0,30000.0,4600
26,Red River at Alexandria,LA,31.31,-92.46,133000,200.0,1500.0,4800
27,Natchez,MS,31.56,-91.39,3097000,13000.0,34000.0,4650
28,Baton Rouge,LA,30.45,-91.19,3238000,14000.0,37000.0,4900
29,New Orleans,LA,29.93,-90.13,3270000,14500.0,40000.0,5000
